codigo_serie|nombre_serie|estado|ultima_actualizacion|observaciones
PN00001MM|Activos Externos Netos de Corto Plazo (millones S/)-|exito|2025-06-13T23:11:01.059037|
PN00002MM|Activos Externos Netos de Corto Plazo (millones US$)|exito|2025-06-13T23:10:57.201664|
PN00003MM|Activos Externos Netos de Corto Plazo - Activos (millones US$)|exito|2025-06-13T23:10:57.647114|
PN00004MM|Activos Externos Netos de Corto Plazo - Pasivos (millones US$)|exito|2025-06-13T23:10:57.513628|
PN00005MM|Activos Externos Netos de Largo Plazo (millones S/)|exito|2025-06-13T23:10:58.734652|
PN00006MM|Activos Externos Netos de Largo Plazo (millones US$)|exito|2025-06-13T23:10:58.326198|
PN00007MM|Activos Internos Netos (millones S/)|exito|2025-06-13T23:11:01.003817|
PN00008MM|Activos Internos Netos - Sector Público (millones S/)|exito|2025-06-13T23:10:59.694791|
PN00009MM|Activos Internos Netos - Sector Público - MN (millones S/)|exito|2025-06-13T23:10:58.400774|
PN00010MM|Activos Internos Netos - Sector Público - ME (millones S/)|exito|2025-06-13T23:10:58.196280|
PN00011MM|Activos Internos Netos - Sector Público - ME (millones US$)|exito|2025-06-13T23:10:58.051753|
PN00012MM|Activos Internos Netos - Crédito al Sector Privado (millones S/)|exito|2025-06-13T23:10:59.731773|
PN00013MM|Activos Internos Netos - Crédito al Sector Privado - MN (millones S/)|exito|2025-06-13T23:10:58.364891|
PN00014MM|Activos Internos Netos - Crédito al Sector Privado - ME (millones S/)|exito|2025-06-13T23:10:58.006659|
PN00015MM|Activos Internos Netos - Crédito al Sector Privado - ME (millones US$)|exito|2025-06-13T23:10:57.757208|
PN00016MM|Activos Internos Netos - Otras Cuentas (millones S/)|exito|2025-06-13T23:10:58.418833|
PN00021MM|Liquidez - MN - Dinero - Depósitos a la Vista (millones S/)|exito|2025-06-13T23:10:59.770611|
PN00023MM|Liquidez - ME (millones S/)|exito|2025-06-13T23:11:01.022378|
PN00025MM|Coeficiente de Dolarización de la Liquidez (%)|exito|2025-06-13T23:10:58.177002|
PN00026MM|Reservas Internacionales Netas (millones S/)|exito|2025-06-13T23:11:01.078066|
PN00030MM|Activos Externos Netos de Largo Plazo (millones S/)|exito|2025-06-13T23:10:58.492521|
PN00031MM|Activos Externos Netos de Largo Plazo (millones US$)|exito|2025-06-13T23:10:57.629071|
PN00032MM|Activos Externos Netos de Largo Plazo - Créditos (millones S/)|exito|2025-06-13T23:10:57.719757|
PN00033MM|Activos Externos Netos de Largo Plazo - Obligaciones (millones S/)|exito|2025-06-13T23:10:59.750585|
PN00034MM|Activos Internos Netos (millones S/)|exito|2025-06-13T23:10:57.683038|
PN00039MM|Activos Internos Netos - Sector Público (Neto) (millones S/)|exito|2025-06-13T23:10:57.795337|
PN00040MM|Activos Internos Netos - Sector Público (Neto) - Banco de la Nación (millones S/)|exito|2025-06-13T23:10:57.588402|
PN00041MM|Activos Internos Netos - Sector Público (Neto) - Gobierno Central (millones S/)|exito|2025-06-13T23:10:57.607953|
PN00042MM|Activos Internos Netos - Sector Público (Neto) - Otros (incluye COFIDE) (millones S/)|exito|2025-06-13T23:11:00.913656|
PN00043MM|Activos Internos Netos - Sector Público (Neto) - Valores en Poder del Sector Público (millones S/)|exito|2025-06-13T23:10:57.776232|
PN00044MM|Activos Internos Netos - Otras Cuentas Netas (millones S/)|exito|2025-06-13T23:10:57.158375|
PN00045MM|Obligaciones Monetarias (millones S/)|exito|2025-06-13T23:10:58.547377|
PN00046MM|Obligaciones Monetarias - MN (millones S/)|exito|2025-06-13T23:10:57.364564|
PN00050MM|Obligaciones Monetarias - MN - Valores Emitidos (millones S/)|exito|2025-06-13T23:10:57.911409|
PN00051MM|Obligaciones Monetarias - ME (millones S/)|exito|2025-06-13T23:10:58.270423|
PN00052MM|Obligaciones Monetarias - ME (millones US$)|exito|2025-06-13T23:10:57.222441|
PN00053MM|Obligaciones Monetarias - ME - Empresas Bancarias (millones S/)|exito|2025-06-13T23:11:00.895006|
PN00054MM|Obligaciones Monetarias - ME - Resto (millones S/)|exito|2025-06-13T23:10:57.324332|
PN00058MM|Activos Externos Netos de Corto Plazo - Pasivos (millones US$)|exito|2025-06-13T23:10:57.983688|
PN00059MM|Activos Externos Netos de Largo Plazo (millones S/)|exito|2025-06-13T23:10:57.857584|
PN00060MM|Activos Externos Netos de Largo Plazo (millones US$)|exito|2025-06-13T23:10:57.262473|
PN00061MM|Activos Internos Netos (millones S/)|exito|2025-06-13T23:10:57.445179|
PN00063MM|Activos Internos Netos - Sector Público - MN (millones S/)|exito|2025-06-13T23:10:57.346049|
PN00065MM|Activos Internos Netos - Sector Público - ME (millones US$)|exito|2025-06-13T23:10:57.117908|
PN00066MM|Activos Internos Netos - Crédito al Sector Privado (millones S/)|exito|2025-06-13T23:10:57.182851|
PN00067MM|Activos Internos Netos - Crédito al Sector Privado - MN (millones S/)|exito|2025-06-13T23:10:57.959849|
PN00068MM|Activos Internos Netos - Crédito al Sector Privado - ME (millones S/)|exito|2025-06-13T23:10:58.156843|
PN00069MM|Activos Internos Netos - Crédito al Sector Privado - ME (millones US$)|exito|2025-06-13T23:10:58.659423|
PN00074MM|Liquidez - MN - Cuasidinero (millones S/)|exito|2025-06-13T23:10:59.651076|
PN00075MM|Liquidez - MN - Cuasidinero - Depósitos, Bonos y otras Obligaciones (millones S/)|exito|2025-06-13T23:10:58.716658|
PN00077MM|Liquidez - ME (millones S/)|exito|2025-06-13T23:10:59.674468|
PN00079MM|Coeficiente de Dolarización de la Liquidez (%)|exito|2025-06-13T23:10:58.252265|
PN00080MM|Activos Externos Netos de Corto Plazo (millones S/)|exito|2025-06-13T23:10:57.566067|
PN00081MM|Activos Externos Netos de Corto Plazo (millones US$)|exito|2025-06-13T23:10:58.677005|
PN00082MM|Activos Externos Netos de Corto Plazo - Activos (millones US$)|exito|2025-06-13T23:11:01.041127|
PN00083MM|Activos Externos Netos de Corto Plazo - Pasivos (millones US$)|exito|2025-06-13T23:11:00.967575|
PN00084MM|Activos Externos Netos de Largo Plazo (millones S/)|exito|2025-06-13T23:10:58.215082|
PN00085MM|Activos Externos Netos de Largo Plazo (millones US$)|exito|2025-06-13T23:10:58.307728|
PN00086MM|Activos Internos Netos (millones S/)|exito|2025-06-13T23:10:58.134883|
PN00087MM|Activos Internos Netos - Sector Público (Neto) (millones S/)|exito|2025-06-13T23:10:58.694971|
PN00088MM|Activos Internos Netos - Sector Público (Neto) - MN (millones S/)|exito|2025-06-13T23:10:58.289029|
PN00089MM|Activos Internos Netos - Sector Público (Neto) - ME (millones S/)|exito|2025-06-13T23:10:58.382724|
PN00090MM|Activos Internos Netos - Sector Público (Neto) - ME (millones US$)|exito|2025-06-13T23:10:58.528881|
PN00091MM|Activos Internos Netos - Sector Privado (millones S/)|exito|2025-06-13T23:10:57.664773|
PN00092MM|Activos Internos Netos - Sector Privado - MN (millones S/)|exito|2025-06-13T23:10:57.835989|
PN00093MM|Activos Internos Netos - Sector Privado - ME (millones S/)|exito|2025-06-13T23:10:58.438286|
PN00094MM|Activos Internos Netos - Sector Privado - ME (millones US$)|exito|2025-06-13T23:10:58.603254|
PN00095MM|Activos Internos Netos - Otras Cuentas (millones S/)|exito|2025-06-13T23:11:00.986098|
PN00100MM|Liquidez - MN - Dinero - Depósitos a la Vista (millones S/)|exito|2025-06-13T23:10:57.738411|
PN00102MM|Liquidez - ME (millones S/)|exito|2025-06-13T23:10:58.585449|
PN00104MM|Coeficiente de Dolarización de la Liquidez (%)|exito|2025-06-13T23:10:58.566141|
PN00105MM|Activos Externos Netos de Corto Plazo (millones S/)|exito|2025-06-13T23:10:57.466839|
PN00109MM|Activos Externos Netos de Largo Plazo (millones S/)|exito|2025-06-13T23:10:57.701108|
PN00110MM|Activos Externos Netos de Largo Plazo (millones US$)|exito|2025-06-13T23:10:58.091526|
PN00111MM|Activos Internos Netos (millones S/)|exito|2025-06-13T23:10:59.632291|
PN00112MM|Activos Internos Netos - Sector Público (Neto) (millones S/)|exito|2025-06-13T23:10:57.540841|
PN00113MM|Activos Internos Netos - Sector Público (Neto) - Gobierno Central (millones S/)|exito|2025-06-13T23:10:58.510372|
PN00114MM|Activos Internos Netos - Sector Público (Neto) - Gobierno Central - Créditos (millones S/)|exito|2025-06-13T23:10:57.815175|
PN00115MM|Activos Internos Netos - Sector Público (Neto) - Gobierno Central - Obligaciones (millones S/)|exito|2025-06-13T23:10:59.713312|
PN00116MM|Activos Internos Netos - Sector Público (Neto) - Resto Sector Público (millones S/)|exito|2025-06-13T23:10:57.405102|
PN00117MM|Activos Internos Netos - Sector Público (Neto) - Resto Sector Público - Créditos (millones S/)|exito|2025-06-13T23:10:58.345813|
PN00118MM|Activos Internos Netos - Sector Público (Neto) - Resto Sector Público - Obligaciones (millones S/)|exito|2025-06-13T23:10:58.622765|
PN00119MM|Activos Internos Netos - Sector Privado (millones S/)|exito|2025-06-13T23:10:58.474086|
PN00120MM|Activos Internos Netos - Operaciones Interbancarias (millones S/)|exito|2025-06-13T23:10:58.112442|
PN00121MM|Activos Internos Netos - Operaciones Interbancarias - BCRP (millones S/)|exito|2025-06-13T23:10:57.881997|
PN00123MM|Activos Internos Netos - Operaciones Interbancarias - BCRP - Depósitos y Valores (millones S/)|exito|2025-06-13T23:10:57.281897|
PN00124MM|Activos Internos Netos - Operaciones Interbancarias - BCRP - Depósitos y Valores - Depósitos MN (millones S/)|exito|2025-06-13T23:10:57.385054|
PN00128MM|Activos Internos Netos - Operaciones Interbancarias - BCRP - Depósitos y Valores - Depósitos ME (millones S/)|exito|2025-06-13T23:10:57.095014|
PN00129MM|Activos Internos Netos - Operaciones Interbancarias - BCRP - Obligaciones (millones S/)|exito|2025-06-13T23:10:57.242449|
PN00130MM|Activos Internos Netos - Operaciones Interbancarias - Banco de la Nación (millones S/)|exito|2025-06-13T23:10:57.303197|
